NAME,CPU %,MEM USAGE / LIMIT / MEM %,NET I/O,BLOCK I/O,STATUS,Date/Time
postgres,0.00%,139.8MiB / 1.946GiB / 7.01%,56.4MB / 70.8MB,104MB / 1.13GB,Up,2023-10-17 14:02:39.565657
ipsec-vpn-server,0.02%,7.863MiB / 1.946GiB / 0.39%,1.38GB / 1.44GB,13.8MB / 135kB,Up,2023-10-17 14:02:39.565657
platform-nginx-1,0.02%,93.33MiB / 1.946GiB / 4.68%,104MB / 82.9MB,77.4MB / 58.2MB,Up,2023-10-17 14:03:39.565808
odoo,0.02%,249.4MiB / 1.946GiB / 12.51%,76.3MB / 137MB,152MB / 319kB,Up,2023-10-17 14:03:39.565808
platform-pgadmin-1,0.07%,115.7MiB / 1.946GiB / 5.81%,48.5kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 14:03:39.565808
platform-dps-1,0.01%,38.05MiB / 1.946GiB / 1.91%,1.18MB / 1.2MB,30.9MB / 46.9MB,Up,2023-10-17 14:03:39.565808
postgres,0.01%,139.8MiB / 1.946GiB / 7.01%,56.4MB / 70.8MB,104MB / 1.13GB,Up,2023-10-17 14:03:39.565808
ipsec-vpn-server,0.02%,7.844MiB / 1.946GiB / 0.39%,1.38GB / 1.44GB,13.8MB / 135kB,Up,2023-10-17 14:03:39.565808
platform-nginx-1,0.02%,93.36MiB / 1.946GiB / 4.68%,104MB / 82.9MB,77.4MB / 58.2MB,Up,2023-10-17 14:04:39.564578
odoo,0.03%,249.4MiB / 1.946GiB / 12.51%,76.3MB / 137MB,152MB / 319kB,Up,2023-10-17 14:04:39.564578
platform-pgadmin-1,0.04%,115.7MiB / 1.946GiB / 5.81%,48.5kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 14:04:39.564578
platform-dps-1,0.01%,38.05MiB / 1.946GiB / 1.91%,1.18MB / 1.2MB,30.9MB / 47MB,Up,2023-10-17 14:04:39.564578
postgres,0.01%,139.8MiB / 1.946GiB / 7.01%,56.4MB / 70.9MB,104MB / 1.13GB,Up,2023-10-17 14:04:39.564578
ipsec-vpn-server,0.03%,7.852MiB / 1.946GiB / 0.39%,1.38GB / 1.44GB,13.8MB / 135kB,Up,2023-10-17 14:04:39.564578
platform-nginx-1,0.02%,104.9MiB / 1.946GiB / 5.26%,104MB / 82.9MB,87.6MB / 58.2MB,Up,2023-10-17 15:00:22.926477
odoo,0.02%,249.4MiB / 1.946GiB / 12.51%,76.7MB / 137MB,152MB / 319kB,Up,2023-10-17 15:00:22.926477
platform-pgadmin-1,0.04%,115.7MiB / 1.946GiB / 5.81%,49kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 15:00:22.926477
platform-dps-1,0.03%,38.05MiB / 1.946GiB / 1.91%,1.18MB / 1.2MB,30.9MB / 47.6MB,Up,2023-10-17 15:00:22.926477
postgres,0.00%,139.8MiB / 1.946GiB / 7.01%,56.7MB / 71.1MB,104MB / 1.14GB,Up,2023-10-17 15:00:22.926477
ipsec-vpn-server,0.00%,8.16MiB / 1.946GiB / 0.41%,1.38GB / 1.44GB,13.8MB / 135kB,Up,2023-10-17 15:00:22.926477
platform-nginx-1,0.02%,104.9MiB / 1.946GiB / 5.26%,104MB / 82.9MB,87.6MB / 58.2MB,Up,2023-10-17 15:00:35.977758
odoo,0.02%,249.4MiB / 1.946GiB / 12.51%,76.7MB / 137MB,152MB / 319kB,Up,2023-10-17 15:00:35.977758
platform-pgadmin-1,0.04%,115.7MiB / 1.946GiB / 5.81%,49kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 15:00:35.977758
platform-dps-1,0.01%,38.05MiB / 1.946GiB / 1.91%,1.18MB / 1.2MB,30.9MB / 47.6MB,Up,2023-10-17 15:00:35.977758
postgres,0.00%,139.8MiB / 1.946GiB / 7.01%,56.7MB / 71.1MB,104MB / 1.14GB,Up,2023-10-17 15:00:35.977758
ipsec-vpn-server,0.00%,7.867MiB / 1.946GiB / 0.39%,1.38GB / 1.44GB,13.8MB / 135kB,Up,2023-10-17 15:00:35.977758
platform-nginx-1,0.02%,105MiB / 1.946GiB / 5.27%,104MB / 82.9MB,87.6MB / 58.2MB,Up,2023-10-17 15:03:07.025019
odoo,0.02%,249.4MiB / 1.946GiB / 12.51%,76.7MB / 137MB,152MB / 319kB,Up,2023-10-17 15:03:07.025019
platform-pgadmin-1,0.04%,115.7MiB / 1.946GiB / 5.81%,49kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 15:03:07.025019
platform-dps-1,0.01%,38.05MiB / 1.946GiB / 1.91%,1.18MB / 1.2MB,30.9MB / 47.7MB,Up,2023-10-17 15:03:07.025019
postgres,0.00%,139.8MiB / 1.946GiB / 7.01%,56.7MB / 71.1MB,104MB / 1.14GB,Up,2023-10-17 15:03:07.025019
ipsec-vpn-server,0.00%,8.512MiB / 1.946GiB / 0.43%,1.38GB / 1.44GB,13.8MB / 135kB,Up,2023-10-17 15:03:07.025019
platform-nginx-1,0.02%,105.3MiB / 1.946GiB / 5.28%,104MB / 82.9MB,87.6MB / 58.2MB,Up,2023-10-17 15:16:36.516669
odoo,0.02%,249.4MiB / 1.946GiB / 12.51%,76.8MB / 137MB,152MB / 319kB,Up,2023-10-17 15:16:36.516669
platform-pgadmin-1,0.04%,115.7MiB / 1.946GiB / 5.81%,49kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 15:16:36.516669
platform-dps-1,0.01%,38.05MiB / 1.946GiB / 1.91%,1.18MB / 1.2MB,30.9MB / 47.8MB,Up,2023-10-17 15:16:36.516669
postgres,0.00%,139.8MiB / 1.946GiB / 7.01%,56.8MB / 71.2MB,104MB / 1.15GB,Up,2023-10-17 15:16:36.516669
ipsec-vpn-server,0.00%,7.867MiB / 1.946GiB / 0.39%,1.38GB / 1.44GB,13.8MB / 135kB,Up,2023-10-17 15:16:36.516669
platform-nginx-1,0.02%,104.8MiB / 1.946GiB / 5.26%,104MB / 82.9MB,87.6MB / 58.2MB,Up,2023-10-17 15:26:36.518466
odoo,0.13%,249.4MiB / 1.946GiB / 12.51%,77MB / 138MB,152MB / 319kB,Up,2023-10-17 15:26:36.518466
platform-pgadmin-1,0.04%,115.8MiB / 1.946GiB / 5.81%,49.2kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 15:26:36.518466
platform-dps-1,0.01%,38.05MiB / 1.946GiB / 1.91%,1.18MB / 1.2MB,30.9MB / 48MB,Up,2023-10-17 15:26:36.518466
postgres,0.15%,139.9MiB / 1.946GiB / 7.02%,57MB / 71.3MB,104MB / 1.15GB,Up,2023-10-17 15:26:36.518466
ipsec-vpn-server,0.00%,7.879MiB / 1.946GiB / 0.40%,1.38GB / 1.44GB,13.8MB / 135kB,Up,2023-10-17 15:26:36.518466
platform-nginx-1,0.02%,106.1MiB / 1.946GiB / 5.32%,113MB / 91.8MB,87.7MB / 58.2MB,Up,2023-10-17 15:36:36.523476
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,78.4MB / 147MB,152MB / 340kB,Up,2023-10-17 15:36:36.523476
platform-pgadmin-1,0.05%,115.8MiB / 1.946GiB / 5.81%,49.2kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 15:36:36.523476
platform-dps-1,0.01%,38.05MiB / 1.946GiB / 1.91%,1.18MB / 1.2MB,30.9MB / 48.1MB,Up,2023-10-17 15:36:36.523476
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,57.7MB / 72.6MB,104MB / 1.15GB,Up,2023-10-17 15:36:36.523476
ipsec-vpn-server,0.00%,7.859MiB / 1.946GiB / 0.39%,1.38GB / 1.44GB,13.8MB / 135kB,Up,2023-10-17 15:36:36.523476
platform-nginx-1,0.02%,107.3MiB / 1.946GiB / 5.39%,113MB / 93.1MB,92.4MB / 58.2MB,Up,2023-10-17 15:46:36.526089
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,78.5MB / 147MB,152MB / 348kB,Up,2023-10-17 15:46:36.526089
platform-pgadmin-1,0.04%,115.8MiB / 1.946GiB / 5.81%,50.3kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 15:46:36.526089
platform-dps-1,0.02%,39.34MiB / 1.946GiB / 1.97%,1.19MB / 1.2MB,33.9MB / 48.2MB,Up,2023-10-17 15:46:36.526089
postgres,0.01%,140.3MiB / 1.946GiB / 7.04%,57.9MB / 72.7MB,104MB / 1.16GB,Up,2023-10-17 15:46:36.526089
ipsec-vpn-server,0.00%,9.328MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 15:46:36.526089
platform-nginx-1,0.02%,106.9MiB / 1.946GiB / 5.36%,113MB / 93.1MB,92.4MB / 58.2MB,Up,2023-10-17 15:56:36.521457
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,78.7MB / 148MB,152MB / 352kB,Up,2023-10-17 15:56:36.521457
platform-pgadmin-1,0.05%,115.8MiB / 1.946GiB / 5.81%,50.3kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 15:56:36.521457
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 48.3MB,Up,2023-10-17 15:56:36.521457
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,58.1MB / 72.9MB,104MB / 1.16GB,Up,2023-10-17 15:56:36.521457
ipsec-vpn-server,0.00%,9.297MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 15:56:36.521457
platform-nginx-1,0.02%,107.2MiB / 1.946GiB / 5.38%,113MB / 93.1MB,92.4MB / 58.2MB,Up,2023-10-17 16:06:36.522528
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,78.9MB / 148MB,152MB / 352kB,Up,2023-10-17 16:06:36.522528
platform-pgadmin-1,0.04%,115.8MiB / 1.946GiB / 5.81%,50.3kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 16:06:36.522528
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 48.5MB,Up,2023-10-17 16:06:36.522528
postgres,0.02%,140.3MiB / 1.946GiB / 7.04%,58.2MB / 73MB,104MB / 1.16GB,Up,2023-10-17 16:06:36.522528
ipsec-vpn-server,0.00%,9.285MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 16:06:36.522528
platform-nginx-1,0.02%,107.4MiB / 1.946GiB / 5.39%,113MB / 93.1MB,92.4MB / 58.2MB,Up,2023-10-17 16:16:36.525022
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,79.1MB / 148MB,152MB / 352kB,Up,2023-10-17 16:16:36.525022
platform-pgadmin-1,0.04%,115.8MiB / 1.946GiB / 5.81%,50.3kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 16:16:36.525022
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 48.6MB,Up,2023-10-17 16:16:36.525022
postgres,0.01%,140.3MiB / 1.946GiB / 7.04%,58.4MB / 73.2MB,104MB / 1.17GB,Up,2023-10-17 16:16:36.525022
ipsec-vpn-server,0.00%,9.293MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 16:16:36.525022
platform-nginx-1,0.02%,106.9MiB / 1.946GiB / 5.36%,113MB / 93.1MB,92.4MB / 58.2MB,Up,2023-10-17 16:26:36.521808
odoo,0.21%,252.9MiB / 1.946GiB / 12.69%,79.3MB / 148MB,152MB / 352kB,Up,2023-10-17 16:26:36.521808
platform-pgadmin-1,0.04%,115.8MiB / 1.946GiB / 5.81%,50.4kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 16:26:36.521808
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 48.7MB,Up,2023-10-17 16:26:36.521808
postgres,0.12%,140.3MiB / 1.946GiB / 7.04%,58.6MB / 73.3MB,104MB / 1.17GB,Up,2023-10-17 16:26:36.521808
ipsec-vpn-server,0.00%,9.316MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 16:26:36.521808
platform-nginx-1,0.02%,109.1MiB / 1.946GiB / 5.48%,114MB / 93.2MB,93.7MB / 58.3MB,Up,2023-10-17 16:36:36.521686
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,79.4MB / 148MB,152MB / 352kB,Up,2023-10-17 16:36:36.521686
platform-pgadmin-1,0.04%,115.8MiB / 1.946GiB / 5.81%,50.4kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 16:36:36.521686
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 48.8MB,Up,2023-10-17 16:36:36.521686
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,58.7MB / 73.5MB,104MB / 1.17GB,Up,2023-10-17 16:36:36.521686
ipsec-vpn-server,0.00%,9.316MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 16:36:36.521686
platform-nginx-1,0.02%,109.4MiB / 1.946GiB / 5.49%,114MB / 93.2MB,93.7MB / 58.3MB,Up,2023-10-17 16:46:36.521007
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,79.6MB / 148MB,152MB / 352kB,Up,2023-10-17 16:46:36.521007
platform-pgadmin-1,0.03%,115.8MiB / 1.946GiB / 5.81%,50.4kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 16:46:36.521007
platform-dps-1,0.02%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 49MB,Up,2023-10-17 16:46:36.521007
postgres,0.03%,140.3MiB / 1.946GiB / 7.04%,58.9MB / 73.6MB,104MB / 1.18GB,Up,2023-10-17 16:46:36.521007
ipsec-vpn-server,0.00%,9.328MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 16:46:36.521007
platform-nginx-1,0.02%,109.7MiB / 1.946GiB / 5.51%,114MB / 93.2MB,93.7MB / 58.3MB,Up,2023-10-17 16:56:36.521678
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,79.7MB / 148MB,152MB / 352kB,Up,2023-10-17 16:56:36.521678
platform-pgadmin-1,0.05%,115.8MiB / 1.946GiB / 5.81%,50.4kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 16:56:36.521678
platform-dps-1,0.02%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 49.1MB,Up,2023-10-17 16:56:36.521678
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,59MB / 73.8MB,104MB / 1.18GB,Up,2023-10-17 16:56:36.521678
ipsec-vpn-server,0.00%,9.344MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 16:56:36.521678
platform-nginx-1,0.02%,103.8MiB / 1.946GiB / 5.21%,114MB / 93.2MB,93.7MB / 58.3MB,Up,2023-10-17 17:06:36.520132
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,79.9MB / 149MB,152MB / 356kB,Up,2023-10-17 17:06:36.520132
platform-pgadmin-1,0.04%,116.9MiB / 1.946GiB / 5.87%,50.4kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 17:06:36.520132
platform-dps-1,0.02%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 49.2MB,Up,2023-10-17 17:06:36.520132
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,59.2MB / 73.9MB,104MB / 1.18GB,Up,2023-10-17 17:06:36.520132
ipsec-vpn-server,0.00%,9.332MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 17:06:36.520132
platform-nginx-1,0.02%,104.1MiB / 1.946GiB / 5.22%,114MB / 93.2MB,93.7MB / 58.3MB,Up,2023-10-17 17:16:36.516240
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,80.1MB / 149MB,152MB / 356kB,Up,2023-10-17 17:16:36.516240
platform-pgadmin-1,0.04%,116.9MiB / 1.946GiB / 5.87%,50.4kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 17:16:36.516240
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 49.3MB,Up,2023-10-17 17:16:36.516240
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,59.3MB / 74.1MB,104MB / 1.19GB,Up,2023-10-17 17:16:36.516240
ipsec-vpn-server,0.00%,9.305MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 17:16:36.516240
platform-nginx-1,0.02%,103.6MiB / 1.946GiB / 5.20%,114MB / 93.2MB,93.7MB / 58.3MB,Up,2023-10-17 17:26:36.516691
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,80.3MB / 149MB,152MB / 356kB,Up,2023-10-17 17:26:36.516691
platform-pgadmin-1,0.04%,116.9MiB / 1.946GiB / 5.87%,50.4kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 17:26:36.516691
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 49.4MB,Up,2023-10-17 17:26:36.516691
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,59.5MB / 74.2MB,104MB / 1.19GB,Up,2023-10-17 17:26:36.516691
ipsec-vpn-server,0.00%,9.32MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 17:26:36.516691
platform-nginx-1,0.02%,108.6MiB / 1.946GiB / 5.45%,114MB / 93.3MB,93.9MB / 58.3MB,Up,2023-10-17 17:36:36.515275
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,80.5MB / 149MB,152MB / 356kB,Up,2023-10-17 17:36:36.515275
platform-pgadmin-1,0.04%,116.9MiB / 1.946GiB / 5.87%,50.4kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 17:36:36.515275
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 49.6MB,Up,2023-10-17 17:36:36.515275
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,59.7MB / 74.4MB,104MB / 1.19GB,Up,2023-10-17 17:36:36.515275
ipsec-vpn-server,0.00%,9.312MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 17:36:36.515275
platform-nginx-1,0.02%,108.7MiB / 1.946GiB / 5.45%,114MB / 93.3MB,93.9MB / 58.3MB,Up,2023-10-17 17:38:29.252576
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,80.5MB / 149MB,152MB / 356kB,Up,2023-10-17 17:38:29.252576
platform-pgadmin-1,0.04%,116.9MiB / 1.946GiB / 5.87%,50.4kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 17:38:29.252576
platform-dps-1,0.03%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 49.6MB,Up,2023-10-17 17:38:29.252576
postgres,0.04%,140.3MiB / 1.946GiB / 7.04%,59.7MB / 74.4MB,104MB / 1.19GB,Up,2023-10-17 17:38:29.252576
ipsec-vpn-server,0.08%,9.316MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 17:38:29.252576
platform-nginx-1,0.02%,108.7MiB / 1.946GiB / 5.46%,114MB / 93.3MB,93.9MB / 58.3MB,Up,2023-10-17 17:39:24.717898
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,80.5MB / 149MB,152MB / 356kB,Up,2023-10-17 17:39:24.717898
platform-pgadmin-1,0.05%,116.9MiB / 1.946GiB / 5.87%,50.8kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 17:39:24.717898
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 49.6MB,Up,2023-10-17 17:39:24.717898
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,59.7MB / 74.5MB,104MB / 1.19GB,Up,2023-10-17 17:39:24.717898
ipsec-vpn-server,0.00%,9.684MiB / 1.946GiB / 0.49%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 17:39:24.717898
platform-nginx-1,0.02%,108.9MiB / 1.946GiB / 5.47%,114MB / 93.3MB,93.9MB / 58.3MB,Up,2023-10-17 17:46:36.515800
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,80.6MB / 149MB,152MB / 356kB,Up,2023-10-17 17:46:36.515800
platform-pgadmin-1,0.04%,116.9MiB / 1.946GiB / 5.87%,50.8kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 17:46:36.515800
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 49.7MB,Up,2023-10-17 17:46:36.515800
postgres,0.01%,140.3MiB / 1.946GiB / 7.04%,59.8MB / 74.5MB,104MB / 1.19GB,Up,2023-10-17 17:46:36.515800
ipsec-vpn-server,0.00%,9.34MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 17:46:36.515800
platform-nginx-1,0.02%,108.1MiB / 1.946GiB / 5.42%,114MB / 93.3MB,93.9MB / 58.3MB,Up,2023-10-17 17:48:29.252866
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,80.7MB / 149MB,152MB / 356kB,Up,2023-10-17 17:48:29.252866
platform-pgadmin-1,0.04%,116.9MiB / 1.946GiB / 5.87%,50.8kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 17:48:29.252866
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 49.7MB,Up,2023-10-17 17:48:29.252866
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,59.8MB / 74.6MB,104MB / 1.2GB,Up,2023-10-17 17:48:29.252866
ipsec-vpn-server,0.00%,9.633MiB / 1.946GiB / 0.48%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 17:48:29.252866
platform-nginx-1,0.02%,108.1MiB / 1.946GiB / 5.42%,114MB / 93.3MB,93.9MB / 58.3MB,Up,2023-10-17 17:49:24.718046
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,80.7MB / 149MB,152MB / 356kB,Up,2023-10-17 17:49:24.718046
platform-pgadmin-1,0.04%,116.9MiB / 1.946GiB / 5.87%,50.8kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 17:49:24.718046
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 49.7MB,Up,2023-10-17 17:49:24.718046
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,59.9MB / 74.6MB,104MB / 1.2GB,Up,2023-10-17 17:49:24.718046
ipsec-vpn-server,0.00%,9.633MiB / 1.946GiB / 0.48%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 17:49:24.718046
platform-nginx-1,0.02%,103.9MiB / 1.946GiB / 5.21%,114MB / 93.3MB,93.9MB / 58.3MB,Up,2023-10-17 17:56:36.515853
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,80.8MB / 149MB,152MB / 356kB,Up,2023-10-17 17:56:36.515853
